internalTaxonId,suborder,family,genus,species_name,species_iucn,species_tree,species_phylacine,authority,risk,yearPublished,assessmentDate,population_trend,hemisphere,realm,continent,cave_use,roost_pref,hib_study,WNS,detected,WNS_declining,Pd_load_ug_cm2,Pd_load_ng_mm2_forearm_length,log10_Pd_load,lesion.count_cm2,source,links,,,
2532,Yangochiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,Balantiopteryx_io,Balantiopteryx_io,"Thomas, 1904",Vulnerable,2015,2014-09-11 00:00:00 UTC,Decreasing,Northern,Neotropical,North America,yes,caves,,,,,,,,,"Arroyo-Cabrales and Jones 1988; Jones et al., 2009; Smith et al. 2003",,,,
2533,Yangochiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,Balantiopteryx_plicata,Balantiopteryx_plicata,"Peters, 1867",Least Concern,2016,2016-07-01 00:00:00 UTC,Unknown,Northern,Neotropical,North America,yes,caves,,,,,,,,,"Dumont 1995; Iba<96>ez et al. 2004; Jones et al., 2009; Smith et al. 2003   ",,,,
84454322,Yinpterochiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,Balionycteris_maculata,Balionycteris_maculata,"(Thomas, 1893)",Least Concern,2021,2019-11-20 00:00:00 UTC,Unknown,Northern/Southern,Indomalayan,Asia,yes,broad,,,,,,,,,Tingga et al. 2012; Francis 1989; Mendes 2011; Jones et al. 2009; Smith et al. 2003,,,,
84454980,Yinpterochiroptera,Pteropodidae,Balionycteris,seimundi,Balionycteris seimundi,,,(Kloss 1921),Least Concern,2021,2019-11-23 00:00:00 UTC,Stable,Northern/Southern,Indomalayan,Asia,no,,,,,,,,,,Hodgkison et al. 2013,,,,
2553,Yangochiroptera,Vespertilionidae,Barbastella,barbastellus,Barbastella barbastellus,Barbastella_barbastellus,Barbastella_barbastellus,"(Schreber, 1774)",Near Threatened,2016,2016-04-25 00:00:00 UTC,Decreasing,Northern,Palearctic,Europe,yes,caves,yes,positive,yes,no,,0.0000162,-4.789473684,0.064938163,"Magalha_s and Costa 2009; Mendes 2011; Jones et al., 2009; Schober and Grimmberger 1997; Smith et al. 2003; Zhang et al. 2007; Zukal et al 2014, 2016; Pohl (1961), Russo et al. (2017); Jurczyszyn et al 2003",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0097224#s2,,,
85180824,Yangochiroptera,Vespertilionidae,Barbastella,beijingensis,Barbastella beijingensis,Barbastella_beijingensis,,"Zhang, Han, Jones, Lin, Zhang, Zhu, Huang &amp; Zhang, 2007",Data Deficient,2021,2020-11-16 00:00:00 UTC,Unknown,Northern,Palearctic,Asia,yes,caves,,,,,,,,,Zhang et al. 2007,,,,
85197261,Yangochiroptera,Vespertilionidae,Barbastella,darjelingensis,Barbastella darjelingensis,Barbastella_darjelingensis,,"(Hodgson, 1855)",Least Concern,2021,2020-12-10 00:00:00 UTC,Stable,Northern,Indomalayan|Palearctic,Asia,yes,caves,,,,,,,,,,,,,
85181182,Yangochiroptera,Vespertilionidae,Barbastella,leucomelas,Barbastella leucomelas,Barbastella_leucomelas,Barbastella_leucomelas,"(Cretzschmar, 1826)",Least Concern,2017,2016-08-31 00:00:00 UTC,Unknown,Northern,Indomalayan|Palearctic,Asia,yes,caves,,,,,,,,,"Mendes 2011; Jones et al., 2009; Smith et al. 2003",,,,
1789,Yangochiroptera,Vespertilionidae,Bauerus,dubiaquercus,Bauerus dubiaquercus,Antrozous_dubiaquercus,Bauerus_dubiaquercus,"(Van Gelder, 1959)",Near Threatened,2018,2018-01-08 00:00:00 UTC,Unknown,Northern,Neotropical,North America,no,,,,,,,,,,"Mendes 2011; Jones et al., 2009; Smith et al. 2003; Czenze & Dunbar 2017",,,,
19749,Yinpterochiroptera,Pteropodidae,Boneia,bidens,Boneia bidens,Boneia_bidens,Rousettus_bidens,"Jentink, 1879",Vulnerable,2020,2019-05-14 00:00:00 UTC,Decreasing,Southern,Australasian,Asia,yes,caves,,,,,,,,,Mendes 2011,,,,
